,Brand_Name,Phone_Name,Color,Ram,Storage,Primary_Camera,Seconadary_Camera,Display_Size,Battery,Price,Product_Link
0,OnePlus,-,-,-,-,-,-,-,-,"₹28,980",https://www.flipkart.com/oneplus-nord-2t-5g-jade-fog-128-gb/p/itm97eda8b1a1566?pid=MOBGHHYZVXCMYDSR&lid=LSTMOBGHHYZVXCMYDSR62TPB2&marketplace=FLIPKART&q=Oneplus+nord&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=61b3eb0c-ff4a-4c33-85ec-399f941ab202.MOBGHHYZVXCMYDSR.SEARCH&ppt=hp&ppn=homepage&ssid=syvsouz45c0000001664050964546&qH=d33129142bbd0b6c
1,OnePlus,-,-,-,-,-,-,-,-,"₹28,990",https://www.flipkart.com/oneplus-nord-2t-5g-jade-fog-128-gb/p/itm97eda8b1a1566?pid=MOBGGA29ZTGXG92P&lid=LSTMOBGGA29ZTGXG92PJLRHHW&marketplace=FLIPKART&q=Oneplus+nord&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=61b3eb0c-ff4a-4c33-85ec-399f941ab202.MOBGGA29ZTGXG92P.SEARCH&ppt=hp&ppn=homepage&ssid=syvsouz45c0000001664050964546&qH=d33129142bbd0b6c
2,OnePlus,Nord 2T 5G,Jade Fog,8 GB,128 GB,50MP,-,17.02 cm (6.7 inch),4500 mAh,"₹28,940",https://www.flipkart.com/oneplus-nord-2t-5g-jade-fog-128-gb/p/itm97eda8b1a1566?pid=MOBGFX6MGJWZMRWR&lid=LSTMOBGFX6MGJWZMRWRXEPOWV&marketplace=FLIPKART&q=Oneplus+nord&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=61b3eb0c-ff4a-4c33-85ec-399f941ab202.MOBGFX6MGJWZMRWR.SEARCH&ppt=hp&ppn=homepage&ssid=syvsouz45c0000001664050964546&qH=d33129142bbd0b6c
3,OnePlus,Nord 2T 5G,Gray Shadow,8 GB,128 GB,50MP,-,17.02 cm (6.7 inch),4500 mAh,"₹28,999",https://www.flipkart.com/oneplus-nord-2t-5g-gray-shadow-128-gb/p/itm97eda8b1a1566?pid=MOBGFX6BHG7H3AQG&lid=LSTMOBGFX6BHG7H3AQGFF7XSN&marketplace=FLIPKART&q=Oneplus+nord&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=61b3eb0c-ff4a-4c33-85ec-399f941ab202.MOBGFX6BHG7H3AQG.SEARCH&ppt=hp&ppn=homepage&ssid=syvsouz45c0000001664050964546&qH=d33129142bbd0b6c
4,OnePlus,Nord CE 5G,Charcoal Ink,8 GB,128 GB,64MP,-,16.33 cm (6.43 inch),4500 mAh,"₹24,990",https://www.flipkart.com/oneplus-nord-ce-5g-charcoal-ink-128-gb/p/itmd6dcbd8116ed1?pid=MOBGDM4D6RNZR2SA&lid=LSTMOBGDM4D6RNZR2SA7IOH3F&marketplace=FLIPKART&q=Oneplus+nord&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=61b3eb0c-ff4a-4c33-85ec-399f941ab202.MOBGDM4D6RNZR2SA.SEARCH&ppt=hp&ppn=homepage&ssid=syvsouz45c0000001664050964546&qH=d33129142bbd0b6c
5,OnePlus,-,-,-,-,-,-,-,-,"₹24,999",https://www.flipkart.com/oneplus-nord-gray-onyx-64-gb/p/itm49f817b591982?pid=MOBFUE5H57THFNVJ&lid=LSTMOBFUE5H57THFNVJSYCAHJ&marketplace=FLIPKART&q=Oneplus+nord&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=61b3eb0c-ff4a-4c33-85ec-399f941ab202.MOBFUE5H57THFNVJ.SEARCH&ppt=hp&ppn=homepage&ssid=syvsouz45c0000001664050964546&qH=d33129142bbd0b6c
6,OnePlus,-,-,-,-,-,-,-,-,"₹29,999",https://www.flipkart.com/oneplus-nord-gray-onyx-256-gb/p/itm49f817b591982?pid=MOBFUE5GGWHFC37J&lid=LSTMOBFUE5GGWHFC37JNXZLYZ&marketplace=FLIPKART&q=Oneplus+nord&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=61b3eb0c-ff4a-4c33-85ec-399f941ab202.MOBFUE5GGWHFC37J.SEARCH&ppt=hp&ppn=homepage&ssid=syvsouz45c0000001664050964546&qH=d33129142bbd0b6c
7,OnePlus,-,-,-,-,-,-,-,-,"₹27,999",https://www.flipkart.com/oneplus-nord-gray-onyx-128-gb/p/itm49f817b591982?pid=MOBFUE5HW4XUUGBN&lid=LSTMOBFUE5HW4XUUGBNMZB8TR&marketplace=FLIPKART&q=Oneplus+nord&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=61b3eb0c-ff4a-4c33-85ec-399f941ab202.MOBFUE5HW4XUUGBN.SEARCH&ppt=hp&ppn=homepage&ssid=syvsouz45c0000001664050964546&qH=d33129142bbd0b6c
8,OnePlus,-,-,-,-,-,-,-,-,"₹27,999",https://www.flipkart.com/oneplus-nord-blue-marble-128-gb/p/itm49f817b591982?pid=MOBFUE5JWYDZX6HX&lid=LSTMOBFUE5JWYDZX6HXJZSHIV&marketplace=FLIPKART&q=Oneplus+nord&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=61b3eb0c-ff4a-4c33-85ec-399f941ab202.MOBFUE5JWYDZX6HX.SEARCH&ppt=hp&ppn=homepage&ssid=syvsouz45c0000001664050964546&qH=d33129142bbd0b6c
9,OnePlus,-,-,-,-,-,-,-,-,"₹24,999",https://www.flipkart.com/oneplus-nord-blue-marble-64-gb/p/itm49f817b591982?pid=MOBFUE5N7KAGZHHC&lid=LSTMOBFUE5N7KAGZHHC6NVUQL&marketplace=FLIPKART&q=Oneplus+nord&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=61b3eb0c-ff4a-4c33-85ec-399f941ab202.MOBFUE5N7KAGZHHC.SEARCH&ppt=hp&ppn=homepage&ssid=syvsouz45c0000001664050964546&qH=d33129142bbd0b6c
10,OnePlus,-,-,-,-,-,-,-,-,"₹29,999",https://www.flipkart.com/oneplus-nord-blue-marble-256-gb/p/itm49f817b591982?pid=MOBFUE5HUU5ZYGRY&lid=LSTMOBFUE5HUU5ZYGRY4ZWZZN&marketplace=FLIPKART&q=Oneplus+nord&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=61b3eb0c-ff4a-4c33-85ec-399f941ab202.MOBFUE5HUU5ZYGRY.SEARCH&ppt=hp&ppn=homepage&ssid=syvsouz45c0000001664050964546&qH=d33129142bbd0b6c
11,OnePlus,Nord CE 2 Lite 5G,Blue Tide,6 GB,128 GB,Yes,-,16.74 cm (6.59 inch),5G,"₹19,400",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6?pid=MOBGDWFJFBKYTEGP&lid=LSTMOBGDWFJFBKYTEGPWUJTLH&marketplace=FLIPKART&q=Oneplus+nord&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=61b3eb0c-ff4a-4c33-85ec-399f941ab202.MOBGDWFJFBKYTEGP.SEARCH&ppt=hp&ppn=homepage&ssid=syvsouz45c0000001664050964546&qH=d33129142bbd0b6c
12,OnePlus,-,-,-,-,-,-,-,-,"₹19,980",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm853d95cf27843?pid=MOBGG6SGBYXGNYMH&lid=LSTMOBGG6SGBYXGNYMHKWSNYG&marketplace=FLIPKART&q=Oneplus+nord&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=61b3eb0c-ff4a-4c33-85ec-399f941ab202.MOBGG6SGBYXGNYMH.SEARCH&ppt=hp&ppn=homepage&ssid=syvsouz45c0000001664050964546&qH=d33129142bbd0b6c
13,OnePlus,Nord CE2 Lite 5G,Blue Tide,8 GB,128 GB,64MP,-,16.74 cm (6.59 inch),5000 mAh,"₹21,899",https://www.flipkart.com/oneplus-nord-ce2-lite-5g-blue-tide-128-gb/p/itm1932861f1c5e0?pid=MOBGHHXT2XK8EJ7M&lid=LSTMOBGHHXT2XK8EJ7MMT07BK&marketplace=FLIPKART&q=Oneplus+nord&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=61b3eb0c-ff4a-4c33-85ec-399f941ab202.MOBGHHXT2XK8EJ7M.SEARCH&ppt=hp&ppn=homepage&ssid=syvsouz45c0000001664050964546&qH=d33129142bbd0b6c
14,OnePlus,Nord CE 2 Lite 5G,Black Dusk,6 GB,128 GB,64MP,-,16.74 cm (6.59 inch),5000 mAh,"₹19,325",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itm7acae55b999e6?pid=MOBGHH9FVUHCFHTY&lid=LSTMOBGHH9FVUHCFHTYYHZDXR&marketplace=FLIPKART&q=Oneplus+nord&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=61b3eb0c-ff4a-4c33-85ec-399f941ab202.MOBGHH9FVUHCFHTY.SEARCH&ppt=hp&ppn=homepage&ssid=syvsouz45c0000001664050964546&qH=d33129142bbd0b6c
15,OnePlus,Nord CE 2 Lite 5G,Blue Tide,6 GB,128 GB,64MP,-,16.74 cm (6.59 inch),5000 mAh,"₹18,999",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6?pid=MOBGHHXQCZQVEQDG&lid=LSTMOBGHHXQCZQVEQDGOMHYPK&marketplace=FLIPKART&q=Oneplus+nord&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=61b3eb0c-ff4a-4c33-85ec-399f941ab202.MOBGHHXQCZQVEQDG.SEARCH&ppt=hp&ppn=homepage&ssid=syvsouz45c0000001664050964546&qH=d33129142bbd0b6c
16,OnePlus,Nord CE 2 Lite 5G,Black Dusk,6 GB,128 GB,64MP,-,16.74 cm (6.59 inch),5000 mAh,"₹19,680",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itm7acae55b999e6?pid=MOBGDWF8GJTFAXVH&lid=LSTMOBGDWF8GJTFAXVHDPQ2PY&marketplace=FLIPKART&q=Oneplus+nord&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=61b3eb0c-ff4a-4c33-85ec-399f941ab202.MOBGDWF8GJTFAXVH.SEARCH&ppt=hp&ppn=homepage&ssid=syvsouz45c0000001664050964546&qH=d33129142bbd0b6c
17,OnePlus,Nord CE 2 Lite 5G,Black Dusk,8 GB,128 GB,64MP,-,16.74 cm (6.59 inch),5000 mAh,"₹21,899",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itm7acae55b999e6?pid=MOBGHHXZYSZ4UWYG&lid=LSTMOBGHHXZYSZ4UWYGLBX687&marketplace=FLIPKART&q=Oneplus+nord&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=61b3eb0c-ff4a-4c33-85ec-399f941ab202.MOBGHHXZYSZ4UWYG.SEARCH&ppt=hp&ppn=homepage&ssid=syvsouz45c0000001664050964546&qH=d33129142bbd0b6c
18,OnePlus,Nord 2T 5G,Gray Shadow,12 GB,256 GB,50MP,-,17.02 cm (6.7 inch),4500 mAh,"₹31,999",https://www.flipkart.com/oneplus-nord-2t-5g-gray-shadow-256-gb/p/itm97eda8b1a1566?pid=MOBGFX6GFUSXWRQN&lid=LSTMOBGFX6GFUSXWRQNGOM82S&marketplace=FLIPKART&q=Oneplus+nord&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=61b3eb0c-ff4a-4c33-85ec-399f941ab202.MOBGFX6GFUSXWRQN.SEARCH&ppt=hp&ppn=homepage&ssid=syvsouz45c0000001664050964546&qH=d33129142bbd0b6c
19,OnePlus,Nord CE 2 5G,Gray Mirror,6 GB,128 GB,64MP,-,16.33 cm (6.43 inch),4500 mAh,"₹23,990",https://www.flipkart.com/oneplus-nord-ce-2-5g-gray-mirror-128-gb/p/itm2a9883679c57c?pid=MOBGDBYUNZZ2ZKFM&lid=LSTMOBGDBYUNZZ2ZKFMTPCU7W&marketplace=FLIPKART&q=Oneplus+nord&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=61b3eb0c-ff4a-4c33-85ec-399f941ab202.MOBGDBYUNZZ2ZKFM.SEARCH&ppt=hp&ppn=homepage&ssid=syvsouz45c0000001664050964546&qH=d33129142bbd0b6c
20,OnePlus,-,-,-,-,-,-,-,-,"₹24,797",https://www.flipkart.com/oneplus-nord-ce-2-5g-bahama-blue-128-gb/p/itm2a9883679c57c?pid=MOBGHHZ2CKB5D4WU&lid=LSTMOBGHHZ2CKB5D4WUNWQ8W2&marketplace=FLIPKART&q=Oneplus+nord&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=61b3eb0c-ff4a-4c33-85ec-399f941ab202.MOBGHHZ2CKB5D4WU.SEARCH&ppt=hp&ppn=homepage&ssid=syvsouz45c0000001664050964546&qH=d33129142bbd0b6c
21,OnePlus,-,-,-,-,-,-,-,-,"₹19,850",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itm853d95cf27843?pid=MOBGG6SGT5TVGSG6&lid=LSTMOBGG6SGT5TVGSG64ZRKFL&marketplace=FLIPKART&q=Oneplus+nord&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=61b3eb0c-ff4a-4c33-85ec-399f941ab202.MOBGG6SGT5TVGSG6.SEARCH&ppt=hp&ppn=homepage&ssid=syvsouz45c0000001664050964546&qH=d33129142bbd0b6c
22,OnePlus,Nord 2T 5G,Jade Fog,12 GB,256 GB,50MP,-,17.02 cm (6.7 inch),4500 mAh,"₹31,999",https://www.flipkart.com/oneplus-nord-2t-5g-jade-fog-256-gb/p/itm97eda8b1a1566?pid=MOBGFX6PB4EGYBW8&lid=LSTMOBGFX6PB4EGYBW8KGGLEN&marketplace=FLIPKART&q=Oneplus+nord&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=61b3eb0c-ff4a-4c33-85ec-399f941ab202.MOBGFX6PB4EGYBW8.SEARCH&ppt=hp&ppn=homepage&ssid=syvsouz45c0000001664050964546&qH=d33129142bbd0b6c
23,OnePlus,Nord 2T 5G,Jade Fog,12 GB,256 GB,50MP,-,17.02 cm (6.7 inch),4500 mAh,"₹33,990",https://www.flipkart.com/oneplus-nord-2t-5g-jade-fog-256-gb/p/itm97eda8b1a1566?pid=MOBGHHYHNZBQBPZY&lid=LSTMOBGHHYHNZBQBPZYUWDDFR&marketplace=FLIPKART&q=Oneplus+nord&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=61b3eb0c-ff4a-4c33-85ec-399f941ab202.MOBGHHYHNZBQBPZY.SEARCH&ppt=hp&ppn=homepage&ssid=syvsouz45c0000001664050964546&qH=d33129142bbd0b6c
